Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
1	Waveform 1	1	859.210500000	859.225500000	23750.000	28120.000	Nyctalus leisleri	0.545	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
1	Spectrogram 1	1	859.210500000	859.225500000	23750.000	28120.000	Nyctalus leisleri	0.545	0.638	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
2	Waveform 1	1	861.867500000	861.883000000	22890.000	27158.000	Nyctalus leisleri	0.403	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
2	Spectrogram 1	1	861.867500000	861.883000000	22890.000	27158.000	Nyctalus leisleri	0.403	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
3	Waveform 1	1	1067.004500000	1067.023500000	22031.000	26344.000	Nyctalus leisleri	0.397	0.501	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
3	Spectrogram 1	1	1067.004500000	1067.023500000	22031.000	26344.000	Nyctalus leisleri	0.397	0.501	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
4	Waveform 1	1	1068.451500000	1068.464400000	23750.000	28902.000	Nyctalus leisleri	0.389	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
4	Spectrogram 1	1	1068.451500000	1068.464400000	23750.000	28902.000	Nyctalus leisleri	0.389	0.586	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
5	Waveform 1	1	1082.294500000	1082.308800000	23750.000	28156.000	Nyctalus leisleri	0.416	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
5	Spectrogram 1	1	1082.294500000	1082.308800000	23750.000	28156.000	Nyctalus leisleri	0.416	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
7	Waveform 1	1	1088.751500000	1088.765800000	22890.000	29060.000	Nyctalus leisleri	0.221	0.527	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
7	Spectrogram 1	1	1088.751500000	1088.765800000	22890.000	29060.000	Nyctalus leisleri	0.221	0.527	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
8	Waveform 1	1	1089.352500000	1089.368600000	22031.000	26996.000	Nyctalus leisleri	0.489	0.599	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
8	Spectrogram 1	1	1089.352500000	1089.368600000	22031.000	26996.000	Nyctalus leisleri	0.489	0.599	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
9	Waveform 1	1	1099.960500000	1099.974300000	23750.000	28932.000	Nyctalus leisleri	0.436	0.603	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
9	Spectrogram 1	1	1099.960500000	1099.974300000	23750.000	28932.000	Nyctalus leisleri	0.436	0.603	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
10	Waveform 1	1	1100.245500000	1100.260600000	22890.000	28277.000	Nyctalus leisleri	0.329	0.524	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
10	Spectrogram 1	1	1100.245500000	1100.260600000	22890.000	28277.000	Nyctalus leisleri	0.329	0.524	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
11	Waveform 1	1	1138.316500000	1138.330000000	23750.000	28871.000	Nyctalus leisleri	0.329	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
11	Spectrogram 1	1	1138.316500000	1138.330000000	23750.000	28871.000	Nyctalus leisleri	0.329	0.518	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
12	Waveform 1	1	1345.768500000	1345.780400000	23750.000	29324.000	Nyctalus leisleri	0.279	0.522	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
12	Spectrogram 1	1	1345.768500000	1345.780400000	23750.000	29324.000	Nyctalus leisleri	0.279	0.522	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
13	Waveform 1	1	1361.060500000	1361.074400000	22890.000	28340.000	Nyctalus leisleri	0.414	0.607	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
13	Spectrogram 1	1	1361.060500000	1361.074400000	22890.000	28340.000	Nyctalus leisleri	0.414	0.607	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
14	Waveform 1	1	1363.369500000	1363.383600000	22031.000	27072.000	Nyctalus leisleri	0.396	0.557	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
14	Spectrogram 1	1	1363.369500000	1363.383600000	22031.000	27072.000	Nyctalus leisleri	0.396	0.557	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
15	Waveform 1	1	1364.167500000	1364.181800000	22890.000	28207.000	Nyctalus leisleri	0.368	0.635	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
15	Spectrogram 1	1	1364.167500000	1364.181800000	22890.000	28207.000	Nyctalus leisleri	0.368	0.635	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
16	Waveform 1	1	1643.774500000	1643.794000000	22890.000	26684.000	Nyctalus leisleri	0.454	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
16	Spectrogram 1	1	1643.774500000	1643.794000000	22890.000	26684.000	Nyctalus leisleri	0.454	0.506	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
17	Waveform 1	1	1645.461500000	1645.481100000	22890.000	26086.000	Nyctalus leisleri	0.577	0.622	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
17	Spectrogram 1	1	1645.461500000	1645.481100000	22890.000	26086.000	Nyctalus leisleri	0.577	0.622	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
18	Waveform 1	1	1645.844500000	1645.863800000	22890.000	25898.000	Nyctalus leisleri	0.531	0.571	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
18	Spectrogram 1	1	1645.844500000	1645.863800000	22890.000	25898.000	Nyctalus leisleri	0.531	0.571	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
19	Waveform 1	1	1646.354500000	1646.373500000	22890.000	26307.000	Nyctalus leisleri	0.588	0.642	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
19	Spectrogram 1	1	1646.354500000	1646.373500000	22890.000	26307.000	Nyctalus leisleri	0.588	0.642	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
20	Waveform 1	1	1646.743500000	1646.761400000	22890.000	25679.000	Nyctalus leisleri	0.672	0.697	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
20	Spectrogram 1	1	1646.743500000	1646.761400000	22890.000	25679.000	Nyctalus leisleri	0.672	0.697	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
21	Waveform 1	1	1647.133500000	1647.153300000	22890.000	25886.000	Nyctalus leisleri	0.639	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220728/UBNA_011/20220727_083000.WAV	Foliage	recover-20220728	11	
