Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
1	Waveform 1	1	231.277500000	231.289100000	25468.000	30247.000	Nyctalus leisleri	0.359	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
1	Spectrogram 1	1	231.277500000	231.289100000	25468.000	30247.000	Nyctalus leisleri	0.359	0.592	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
2	Waveform 1	1	231.651500000	231.663500000	24609.000	29885.000	Nyctalus leisleri	0.297	0.598	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
2	Spectrogram 1	1	231.651500000	231.663500000	24609.000	29885.000	Nyctalus leisleri	0.297	0.598	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
3	Waveform 1	1	231.931500000	231.945900000	24609.000	29998.000	Nyctalus leisleri	0.34	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
3	Spectrogram 1	1	231.931500000	231.945900000	24609.000	29998.000	Nyctalus leisleri	0.34	0.545	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
4	Waveform 1	1	232.401500000	232.420600000	24609.000	29436.000	Nyctalus leisleri	0.309	0.53	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
4	Spectrogram 1	1	232.401500000	232.420600000	24609.000	29436.000	Nyctalus leisleri	0.309	0.53	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
5	Waveform 1	1	232.713500000	232.730200000	23750.000	28253.000	Nyctalus leisleri	0.411	0.555	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
5	Spectrogram 1	1	232.713500000	232.730200000	23750.000	28253.000	Nyctalus leisleri	0.411	0.555	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
6	Waveform 1	1	233.144500000	233.160900000	23750.000	29353.000	Nyctalus leisleri	0.381	0.618	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
6	Spectrogram 1	1	233.144500000	233.160900000	23750.000	29353.000	Nyctalus leisleri	0.381	0.618	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
7	Waveform 1	1	233.301500000	233.312300000	26328.000	34940.000	Eptesicus serotinus	0.346	0.641	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
7	Spectrogram 1	1	233.301500000	233.312300000	26328.000	34940.000	Eptesicus serotinus	0.346	0.641	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
8	Waveform 1	1	233.473500000	233.485300000	25468.000	33041.000	Eptesicus serotinus	0.294	0.56	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
8	Spectrogram 1	1	233.473500000	233.485300000	25468.000	33041.000	Eptesicus serotinus	0.294	0.56	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_004/20220730_053000.WAV	Carp Pond			
