Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	detection_confidence	Annotation	input_file
1	Waveform 1	1	66.591500000	66.609900000	23750.000	28056.000	0.538	Echolocation	20220826_070000.WAV
1	Spectrogram 1	1	66.591500000	66.609900000	23750.000	28056.000	0.538	Echolocation	20220826_070000.WAV
2	Waveform 1	1	67.931500000	67.947700000	23750.000	28810.000	0.584	Echolocation	20220826_070000.WAV
2	Spectrogram 1	1	67.931500000	67.947700000	23750.000	28810.000	0.584	Echolocation	20220826_070000.WAV
3	Waveform 1	1	68.672500000	68.689000000	23750.000	29251.000	0.598	Echolocation	20220826_070000.WAV
3	Spectrogram 1	1	68.672500000	68.689000000	23750.000	29251.000	0.598	Echolocation	20220826_070000.WAV
4	Waveform 1	1	68.970500000	68.988000000	23750.000	29281.000	0.577	Echolocation	20220826_070000.WAV
4	Spectrogram 1	1	68.970500000	68.988000000	23750.000	29281.000	0.577	Echolocation	20220826_070000.WAV
5	Waveform 1	1	69.246500000	69.262400000	23750.000	29257.000	0.618	Echolocation	20220826_070000.WAV
5	Spectrogram 1	1	69.246500000	69.262400000	23750.000	29257.000	0.618	Echolocation	20220826_070000.WAV
6	Waveform 1	1	70.082500000	70.096800000	23750.000	29209.000	0.606	Echolocation	20220826_070000.WAV
6	Spectrogram 1	1	70.082500000	70.096800000	23750.000	29209.000	0.606	Echolocation	20220826_070000.WAV
7	Waveform 1	1	70.509500000	70.525800000	23750.000	28529.000	0.537	Echolocation	20220826_070000.WAV
7	Spectrogram 1	1	70.509500000	70.525800000	23750.000	28529.000	0.537	Echolocation	20220826_070000.WAV
8	Waveform 1	1	70.938500000	70.954300000	23750.000	29213.000	0.627	Echolocation	20220826_070000.WAV
8	Spectrogram 1	1	70.938500000	70.954300000	23750.000	29213.000	0.627	Echolocation	20220826_070000.WAV
9	Waveform 1	1	71.218500000	71.235100000	23750.000	29453.000	0.6	Echolocation	20220826_070000.WAV
9	Spectrogram 1	1	71.218500000	71.235100000	23750.000	29453.000	0.6	Echolocation	20220826_070000.WAV
10	Waveform 1	1	71.500500000	71.515200000	23750.000	30264.000	0.635	Echolocation	20220826_070000.WAV
10	Spectrogram 1	1	71.500500000	71.515200000	23750.000	30264.000	0.635	Echolocation	20220826_070000.WAV
11	Waveform 1	1	71.911500000	71.926400000	23750.000	29607.000	0.594	Echolocation	20220826_070000.WAV
11	Spectrogram 1	1	71.911500000	71.926400000	23750.000	29607.000	0.594	Echolocation	20220826_070000.WAV
12	Waveform 1	1	72.187500000	72.202400000	23750.000	30781.000	0.569	Echolocation	20220826_070000.WAV
12	Spectrogram 1	1	72.187500000	72.202400000	23750.000	30781.000	0.569	Echolocation	20220826_070000.WAV
13	Waveform 1	1	72.502500000	72.517400000	23750.000	30270.000	0.651	Echolocation	20220826_070000.WAV
13	Spectrogram 1	1	72.502500000	72.517400000	23750.000	30270.000	0.651	Echolocation	20220826_070000.WAV
14	Waveform 1	1	72.890500000	72.904500000	23750.000	31127.000	0.574	Echolocation	20220826_070000.WAV
14	Spectrogram 1	1	72.890500000	72.904500000	23750.000	31127.000	0.574	Echolocation	20220826_070000.WAV
15	Waveform 1	1	73.149500000	73.165000000	23750.000	30569.000	0.623	Echolocation	20220826_070000.WAV
15	Spectrogram 1	1	73.149500000	73.165000000	23750.000	30569.000	0.623	Echolocation	20220826_070000.WAV
16	Waveform 1	1	73.349500000	73.365100000	23750.000	29002.000	0.583	Echolocation	20220826_070000.WAV
16	Spectrogram 1	1	73.349500000	73.365100000	23750.000	29002.000	0.583	Echolocation	20220826_070000.WAV
17	Waveform 1	1	73.610500000	73.625000000	24609.000	31464.000	0.554	Echolocation	20220826_070000.WAV
17	Spectrogram 1	1	73.610500000	73.625000000	24609.000	31464.000	0.554	Echolocation	20220826_070000.WAV
18	Waveform 1	1	73.800500000	73.812800000	24609.000	34920.000	0.622	Echolocation	20220826_070000.WAV
18	Spectrogram 1	1	73.800500000	73.812800000	24609.000	34920.000	0.622	Echolocation	20220826_070000.WAV
19	Waveform 1	1	74.064500000	74.079100000	23750.000	31725.000	0.553	Echolocation	20220826_070000.WAV
19	Spectrogram 1	1	74.064500000	74.079100000	23750.000	31725.000	0.553	Echolocation	20220826_070000.WAV
20	Waveform 1	1	74.338500000	74.351200000	24609.000	31686.000	0.603	Echolocation	20220826_070000.WAV
20	Spectrogram 1	1	74.338500000	74.351200000	24609.000	31686.000	0.603	Echolocation	20220826_070000.WAV
21	Waveform 1	1	74.505500000	74.517000000	24609.000	33102.000	0.642	Echolocation	20220826_070000.WAV
21	Spectrogram 1	1	74.505500000	74.517000000	24609.000	33102.000	0.642	Echolocation	20220826_070000.WAV
22	Waveform 1	1	74.660500000	74.672100000	24609.000	33515.000	0.603	Echolocation	20220826_070000.WAV
22	Spectrogram 1	1	74.660500000	74.672100000	24609.000	33515.000	0.603	Echolocation	20220826_070000.WAV
23	Waveform 1	1	74.916500000	74.928200000	24609.000	30126.000	0.556	Echolocation	20220826_070000.WAV
23	Spectrogram 1	1	74.916500000	74.928200000	24609.000	30126.000	0.556	Echolocation	20220826_070000.WAV
24	Waveform 1	1	75.169500000	75.183200000	23750.000	32479.000	0.615	Echolocation	20220826_070000.WAV
24	Spectrogram 1	1	75.169500000	75.183200000	23750.000	32479.000	0.615	Echolocation	20220826_070000.WAV
25	Waveform 1	1	75.725500000	75.740700000	24609.000	30908.000	0.511	Echolocation	20220826_070000.WAV
25	Spectrogram 1	1	75.725500000	75.740700000	24609.000	30908.000	0.511	Echolocation	20220826_070000.WAV
26	Waveform 1	1	173.469500000	173.483500000	24609.000	28611.000	0.582	Echolocation	20220826_070000.WAV
26	Spectrogram 1	1	173.469500000	173.483500000	24609.000	28611.000	0.582	Echolocation	20220826_070000.WAV
27	Waveform 1	1	175.192500000	175.205000000	24609.000	33353.000	0.612	Echolocation	20220826_070000.WAV
27	Spectrogram 1	1	175.192500000	175.205000000	24609.000	33353.000	0.612	Echolocation	20220826_070000.WAV
