Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
52	Waveform 1	1	1119.807097990	1119.827720692	23414.634	29101.045										3
52	Spectrogram 1	1	1119.807097990	1119.827720692	23414.634	29101.045										3
55	Waveform 1	1	1120.988778489	1121.007338921	23414.634	27763.066										3
55	Spectrogram 1	1	1120.988778489	1121.007338921	23414.634	27763.066										3
60	Waveform 1	1	1123.205030544	1123.226340670	23414.634	28432.056										3
60	Spectrogram 1	1	1123.205030544	1123.226340670	23414.634	28432.056										3
56	Waveform 1	1	1121.373047838	1121.399857351	23749.129	28432.056										3
56	Spectrogram 1	1	1121.373047838	1121.399857351	23749.129	28432.056										3
57	Waveform 1	1	1121.901676103	1121.929173039	23749.129	27428.571										3
57	Spectrogram 1	1	1121.901676103	1121.929173039	23749.129	27428.571										3
58	Waveform 1	1	1122.301069101	1122.321004380	23749.129	28097.561										3
58	Spectrogram 1	1	1122.301069101	1122.321004380	23749.129	28097.561										3
62	Waveform 1	1	1123.596861551	1123.620921370	23749.129	25756.098										1
62	Spectrogram 1	1	1123.596861551	1123.620921370	23749.129	25756.098										1
47	Waveform 1	1	1118.496182225	1118.513367811	24083.624	30439.024										3
47	Spectrogram 1	1	1118.496182225	1118.513367811	24083.624	30439.024										3
59	Waveform 1	1	1122.821448284	1122.843445833	24083.624	27094.077										3
59	Spectrogram 1	1	1122.821448284	1122.843445833	24083.624	27094.077										3
61	Waveform 1	1	1123.856707598	1123.875955453	24083.624	26759.582										3
61	Spectrogram 1	1	1123.856707598	1123.875955453	24083.624	26759.582										3
42	Waveform 1	1	1116.874551416	1116.886925037	24752.613	29435.540										2
42	Spectrogram 1	1	1116.874551416	1116.886925037	24752.613	29435.540										2
46	Waveform 1	1	1118.355260761	1118.366259536	24752.613	29770.035										3
46	Spectrogram 1	1	1118.355260761	1118.366259536	24752.613	29770.035										3
63	Waveform 1	1	1124.633495711	1124.649993873	24752.613	27428.571										3
63	Spectrogram 1	1	1124.633495711	1124.649993873	24752.613	27428.571										3
43	Waveform 1	1	1117.623842593	1117.632091674	25087.108	30439.024										2
43	Spectrogram 1	1	1117.623842593	1117.632091674	25087.108	30439.024										2
54	Waveform 1	1	1120.471836423	1120.488334584	25087.108	29770.035										3
54	Spectrogram 1	1	1120.471836423	1120.488334584	25087.108	29770.035										3
48	Waveform 1	1	1118.749841462	1118.764964777	25421.603	29770.035										3
48	Spectrogram 1	1	1118.749841462	1118.764964777	25421.603	29770.035										3
53	Waveform 1	1	1120.197554484	1120.211990376	25421.603	28766.551										3
53	Spectrogram 1	1	1120.197554484	1120.211990376	25421.603	28766.551										3
44	Waveform 1	1	1117.874751801	1117.886437999	25756.098	28766.551										2
44	Spectrogram 1	1	1117.874751801	1117.886437999	25756.098	28766.551										2
50	Waveform 1	1	1119.286031383	1119.298405005	25756.098	30104.530										3
50	Spectrogram 1	1	1119.286031383	1119.298405005	25756.098	30104.530										3
51	Waveform 1	1	1119.543127737	1119.565125286	25756.098	28432.056										3
51	Spectrogram 1	1	1119.543127737	1119.565125286	25756.098	28432.056										3
45	Waveform 1	1	1118.115349993	1118.132535578	26090.592	29435.540										3
45	Spectrogram 1	1	1118.115349993	1118.132535578	26090.592	29435.540										3
49	Waveform 1	1	1119.013812049	1119.025498247	26425.087	28432.056										3
49	Spectrogram 1	1	1119.013812049	1119.025498247	26425.087	28432.056										3
72	Waveform 1	1	1275.573715193	1275.586776238	33783.972	47163.763										3
72	Spectrogram 1	1	1275.573715193	1275.586776238	33783.972	47163.763										3
88	Waveform 1	1	1278.247790066	1278.257413993	34452.962	47832.753										3
88	Spectrogram 1	1	1278.247790066	1278.257413993	34452.962	47832.753										3
70	Waveform 1	1	1275.286372544	1275.295996472	34787.456	48167.247										3
70	Spectrogram 1	1	1275.286372544	1275.295996472	34787.456	48167.247										3
90	Waveform 1	1	1278.818351492	1278.827975419	35456.446	46160.279										3
90	Spectrogram 1	1	1278.818351492	1278.827975419	35456.446	46160.279										3
39	Waveform 1	1	537.424364417	537.433300921	36125.436	43149.826										1
39	Spectrogram 1	1	537.424364417	537.433300921	36125.436	43149.826										1
89	Waveform 1	1	1278.534445625	1278.546131823	36459.930	48836.237										3
89	Spectrogram 1	1	1278.534445625	1278.546131823	36459.930	48836.237										3
106	Waveform 1	1	1486.792683113	1486.805056734	36459.930	55860.627										3
106	Spectrogram 1	1	1486.792683113	1486.805056734	36459.930	55860.627										3
40	Waveform 1	1	538.249272168	538.256146402	36794.425	47832.753										1
40	Spectrogram 1	1	538.249272168	538.256146402	36794.425	47832.753										1
71	Waveform 1	1	1275.470601683	1275.485724997	36794.425	50843.206										3
71	Spectrogram 1	1	1275.470601683	1275.485724997	36794.425	50843.206										3
87	Waveform 1	1	1278.059436387	1278.069747738	36794.425	45156.794										1
87	Spectrogram 1	1	1278.059436387	1278.069747738	36794.425	45156.794										1
41	Waveform 1	1	538.534552547	538.541426781	37463.415	42815.331										1
41	Spectrogram 1	1	538.534552547	538.541426781	37463.415	42815.331										1
68	Waveform 1	1	1275.004528948	1275.016215146	37463.415	47832.753										3
68	Spectrogram 1	1	1275.004528948	1275.016215146	37463.415	47832.753										3
83	Waveform 1	1	1277.385074361	1277.395385712	37463.415	43818.815										2
83	Spectrogram 1	1	1277.385074361	1277.395385712	37463.415	43818.815										2
65	Waveform 1	1	1274.728872163	1274.737808667	37797.909	48836.237										3
65	Spectrogram 1	1	1274.728872163	1274.737808667	37797.909	48836.237										3
69	Waveform 1	1	1275.183259033	1275.194257808	37797.909	47832.753										3
69	Spectrogram 1	1	1275.183259033	1275.194257808	37797.909	47832.753										3
86	Waveform 1	1	1277.679978667	1277.691664865	37797.909	47163.763										1
