Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
39	Waveform 1	1	442.062659236	442.086963323	45428.571	55714.286										1
39	Spectrogram 1	1	442.062659236	442.086963323	45428.571	55714.286										1
40	Waveform 1	1	442.341670161	442.353336123	45642.857	53357.143										1
40	Spectrogram 1	1	442.341670161	442.353336123	45642.857	53357.143										1
41	Waveform 1	1	442.435970021	442.449580310	43928.571	53357.143										1
41	Spectrogram 1	1	442.435970021	442.449580310	43928.571	53357.143										1
42	Waveform 1	1	442.927884753	442.937606388	42000.000	50357.143										1
42	Spectrogram 1	1	442.927884753	442.937606388	42000.000	50357.143										1
43	Waveform 1	1	443.119400963	443.127178271	43071.429	50785.714										1
43	Spectrogram 1	1	443.119400963	443.127178271	43071.429	50785.714										1
44	Waveform 1	1	442.251258955	442.262924917	41571.429	58928.571										2
44	Spectrogram 1	1	442.251258955	442.262924917	41571.429	58928.571										2
45	Waveform 1	1	442.833584893	442.842334365	40071.429	57857.143										3
45	Spectrogram 1	1	442.833584893	442.842334365	40071.429	57857.143										3
46	Waveform 1	1	443.020240286	443.031906248	43500.000	57642.857										2
46	Spectrogram 1	1	443.020240286	443.031906248	43500.000	57642.857										2
47	Waveform 1	1	443.208839432	443.219533230	43928.571	50785.714										1
47	Spectrogram 1	1	443.208839432	443.219533230	43928.571	50785.714										1
48	Waveform 1	1	491.205801375	491.210662193	34750.000	44750.000										1
48	Spectrogram 1	1	491.205801375	491.210662193	34750.000	44750.000										1
49	Waveform 1	1	491.304962052	491.314683687	39250.000	46500.000										1
49	Spectrogram 1	1	491.304962052	491.314683687	39250.000	46500.000										1
50	Waveform 1	1	852.589346841	852.595179822	39250.000	55000.000										1
50	Spectrogram 1	1	852.589346841	852.595179822	39250.000	55000.000										1
51	Waveform 1	1	852.776002233	852.786696032	39750.000	58250.000										2
51	Spectrogram 1	1	852.776002233	852.786696032	39750.000	58250.000										2
52	Waveform 1	1	852.962657626	852.974323588	40750.000	55000.000										2
52	Spectrogram 1	1	852.962657626	852.974323588	40750.000	55000.000										2
53	Waveform 1	1	853.049180178	853.072512102	40500.000	55750.000										2
53	Spectrogram 1	1	853.049180178	853.072512102	40500.000	55750.000										2
54	Waveform 1	1	853.132786239	853.145424364	43000.000	56750.000										2
54	Spectrogram 1	1	853.132786239	853.145424364	43000.000	56750.000										2
55	Waveform 1	1	853.599424983	853.613035272	45750.000	58250.000										2
55	Spectrogram 1	1	853.599424983	853.613035272	45750.000	58250.000										2
56	Waveform 1	1	853.847326676	853.860936965	43250.000	60500.000										2
56	Spectrogram 1	1	853.847326676	853.860936965	43250.000	60500.000										2
57	Waveform 1	1	853.932877065	853.940654373	44000.000	56250.000										2
57	Spectrogram 1	1	853.932877065	853.940654373	44000.000	56250.000										2
58	Waveform 1	1	854.097172696	854.107866495	42750.000	58000.000										1
58	Spectrogram 1	1	854.097172696	854.107866495	42750.000	58000.000										1
59	Waveform 1	1	854.440346676	854.447151821	44750.000	56000.000										1
59	Spectrogram 1	1	854.440346676	854.447151821	44750.000	56000.000										1
60	Waveform 1	1	854.351879797	854.360629269	44750.000	56250.000										1
60	Spectrogram 1	1	854.351879797	854.360629269	44750.000	56250.000										1
61	Waveform 1	1	854.184667675	854.190500656	47000.000	56750.000										1
61	Spectrogram 1	1	854.184667675	854.190500656	47000.000	56750.000										1
62	Waveform 1	1	854.587143365	854.600753654	46500.000	54000.000										1
62	Spectrogram 1	1	854.587143365	854.600753654	46500.000	54000.000										1
63	Waveform 1	1	854.995452036	855.008090162	42750.000	53250.000										1
63	Spectrogram 1	1	854.995452036	855.008090162	42750.000	53250.000										1
64	Waveform 1	1	854.764077122	854.778659575	40250.000	56000.000										2
64	Spectrogram 1	1	854.764077122	854.778659575	40250.000	56000.000										2
65	Waveform 1	1	607.708023426	607.713856407	44000.000	49750.000										1
65	Spectrogram 1	1	607.708023426	607.713856407	44000.000	49750.000										1
66	Waveform 1	1	607.790657323	607.801351122	39250.000	51250.000										1
66	Spectrogram 1	1	607.790657323	607.801351122	39250.000	51250.000										1
67	Waveform 1	1	607.886901510	607.890790164	40250.000	48750.000										1
67	Spectrogram 1	1	607.886901510	607.890790164	40250.000	48750.000										1
68	Waveform 1	1	607.973424062	607.987034351	41250.000	49250.000										1
68	Spectrogram 1	1	607.973424062	607.987034351	41250.000	49250.000										1
69	Waveform 1	1	608.072584739	608.083278537	40000.000	51250.000										2
69	Spectrogram 1	1	608.072584739	608.083278537	40000.000	51250.000										2
70	Waveform 1	1	608.170773253	608.180494888	38250.000	48750.000										2
70	Spectrogram 1	1	608.170773253	608.180494888	38250.000	48750.000										2
71	Waveform 1	1	608.265073112	608.277711238	38000.000	57000.000										3
71	Spectrogram 1	1	608.265073112	608.277711238	38000.000	57000.000										3
72	Waveform 1	1	608.363261626	608.379788406	37750.000	54750.000										3
72	Spectrogram 1	1	608.363261626	608.379788406	37750.000	54750.000										3
73	Waveform 1	1	608.459505813	608.470199611	39250.000	50000.000										3
73	Spectrogram 1	1	608.459505813	608.470199611	39250.000	50000.000										3
74	Waveform 1	1	608.553805673	608.558666490	36750.000	58000.000										3
74	Spectrogram 1	1	608.553805673	608.558666490	36750.000	58000.000										3
75	Waveform 1	1	608.644216878	608.654910677	36000.000	60000.000										3
75	Spectrogram 1	1	608.644216878	608.654910677	36000.000	60000.000										3
76	Waveform 1	1	608.739488901	608.755043517	38500.000	58000.000										3
76	Spectrogram 1	1	608.739488901	608.755043517	38500.000	58000.000										3
77	Waveform 1	1	608.827955780	608.837677415	38500.000	49750.000										3
77	Spectrogram 1	1	608.827955780	608.837677415	38500.000	49750.000										3
78	Waveform 1	1	608.919339413	608.936838356	36750.000	58750.000										3
78	Spectrogram 1	1	608.919339413	608.936838356	36750.000	58750.000										3
79	Waveform 1	1	609.011694946	609.024333071	40750.000	58750.000										3
79	Spectrogram 1	1	609.011694946	609.024333071	40750.000	58750.000										3
80	Waveform 1	1	609.111827786	609.123493748	31750.000	61250.000										3
80	Spectrogram 1	1	609.111827786	609.123493748	31750.000	61250.000										3
81	Waveform 1	1	609.199322501	609.212932790	38250.000	57750.000										3
81	Spectrogram 1	1	609.199322501	609.212932790	38250.000	57750.000										3
82	Waveform 1	1	609.289733707	609.301399669	33000.000	61750.000										3
82	Spectrogram 1	1	609.289733707	609.301399669	33000.000	61750.000										3
83	Waveform 1	1	609.384033567	609.394727365	37500.000	54000.000										3
83	Spectrogram 1	1	609.384033567	609.394727365	37500.000	54000.000										3
84	Waveform 1	1	609.460834484	609.481249917	31750.000	59500.000										3
84	Spectrogram 1	1	609.460834484	609.481249917	31750.000	59500.000										3
85	Waveform 1	1	609.551245689	609.565828142	45750.000	55000.000										3
85	Spectrogram 1	1	609.551245689	609.565828142	45750.000	55000.000										3
86	Waveform 1	1	609.630963096	609.646517712	36500.000	60250.000										3
86	Spectrogram 1	1	609.630963096	609.646517712	36500.000	60250.000										3
87	Waveform 1	1	609.681515599	609.692209397	41250.000	57750.000										3
87	Spectrogram 1	1	609.681515599	609.692209397	41250.000	57750.000										3
88	Waveform 1	1	609.758316515	609.767065987	48250.000	59750.000										3
