Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	detection_confidence	input_file
1	Waveform 1	1	15.617500000	15.622700000	40937.000	53013.000	Echolocation	0.519	20220826_070000.WAV
1	Spectrogram 1	1	15.617500000	15.622700000	40937.000	53013.000	Echolocation	0.519	20220826_070000.WAV
2	Waveform 1	1	15.832500000	15.838700000	40078.000	51058.000	Echolocation	0.545	20220826_070000.WAV
2	Spectrogram 1	1	15.832500000	15.838700000	40078.000	51058.000	Echolocation	0.545	20220826_070000.WAV
3	Waveform 1	1	16.044500000	16.051300000	39218.000	52153.000	Echolocation	0.578	20220826_070000.WAV
3	Spectrogram 1	1	16.044500000	16.051300000	39218.000	52153.000	Echolocation	0.578	20220826_070000.WAV
4	Waveform 1	1	16.257500000	16.265500000	40078.000	52592.000	Echolocation	0.606	20220826_070000.WAV
4	Spectrogram 1	1	16.257500000	16.265500000	40078.000	52592.000	Echolocation	0.606	20220826_070000.WAV
5	Waveform 1	1	16.360500000	16.367800000	40937.000	50891.000	Echolocation	0.533	20220826_070000.WAV
5	Spectrogram 1	1	16.360500000	16.367800000	40937.000	50891.000	Echolocation	0.533	20220826_070000.WAV
6	Waveform 1	1	16.464500000	16.473000000	40078.000	55296.000	Echolocation	0.643	20220826_070000.WAV
6	Spectrogram 1	1	16.464500000	16.473000000	40078.000	55296.000	Echolocation	0.643	20220826_070000.WAV
7	Waveform 1	1	16.683500000	16.690600000	40078.000	56652.000	Echolocation	0.675	20220826_070000.WAV
7	Spectrogram 1	1	16.683500000	16.690600000	40078.000	56652.000	Echolocation	0.675	20220826_070000.WAV
8	Waveform 1	1	16.901500000	16.908900000	40078.000	56260.000	Echolocation	0.613	20220826_070000.WAV
8	Spectrogram 1	1	16.901500000	16.908900000	40078.000	56260.000	Echolocation	0.613	20220826_070000.WAV
9	Waveform 1	1	16.973500000	16.980500000	40078.000	57121.000	Echolocation	0.606	20220826_070000.WAV
9	Spectrogram 1	1	16.973500000	16.980500000	40078.000	57121.000	Echolocation	0.606	20220826_070000.WAV
10	Waveform 1	1	17.042500000	17.049200000	40078.000	56572.000	Echolocation	0.575	20220826_070000.WAV
10	Spectrogram 1	1	17.042500000	17.049200000	40078.000	56572.000	Echolocation	0.575	20220826_070000.WAV
11	Waveform 1	1	18.188500000	18.194400000	40078.000	59353.000	Echolocation	0.505	20220826_070000.WAV
11	Spectrogram 1	1	18.188500000	18.194400000	40078.000	59353.000	Echolocation	0.505	20220826_070000.WAV
12	Waveform 1	1	18.756500000	18.764300000	39218.000	65328.000	Echolocation	0.511	20220826_070000.WAV
12	Spectrogram 1	1	18.756500000	18.764300000	39218.000	65328.000	Echolocation	0.511	20220826_070000.WAV
13	Waveform 1	1	19.049500000	19.056400000	38359.000	59850.000	Echolocation	0.525	20220826_070000.WAV
13	Spectrogram 1	1	19.049500000	19.056400000	38359.000	59850.000	Echolocation	0.525	20220826_070000.WAV
14	Waveform 1	1	19.143500000	19.151100000	40078.000	64803.000	Echolocation	0.526	20220826_070000.WAV
14	Spectrogram 1	1	19.143500000	19.151100000	40078.000	64803.000	Echolocation	0.526	20220826_070000.WAV
15	Waveform 1	1	19.352500000	19.361200000	40078.000	63747.000	Echolocation	0.503	20220826_070000.WAV
15	Spectrogram 1	1	19.352500000	19.361200000	40078.000	63747.000	Echolocation	0.503	20220826_070000.WAV
16	Waveform 1	1	19.955500000	19.964000000	40078.000	60974.000	Echolocation	0.547	20220826_070000.WAV
16	Spectrogram 1	1	19.955500000	19.964000000	40078.000	60974.000	Echolocation	0.547	20220826_070000.WAV
17	Waveform 1	1	20.030500000	20.037400000	34921.000	50866.000	Echolocation	0.525	20220826_070000.WAV
17	Spectrogram 1	1	20.030500000	20.037400000	34921.000	50866.000	Echolocation	0.525	20220826_070000.WAV
18	Waveform 1	1	20.365500000	20.372300000	40078.000	55403.000	Echolocation	0.516	20220826_070000.WAV
18	Spectrogram 1	1	20.365500000	20.372300000	40078.000	55403.000	Echolocation	0.516	20220826_070000.WAV
19	Waveform 1	1	20.553500000	20.560400000	38359.000	51743.000	Echolocation	0.522	20220826_070000.WAV
19	Spectrogram 1	1	20.553500000	20.560400000	38359.000	51743.000	Echolocation	0.522	20220826_070000.WAV
20	Waveform 1	1	20.644500000	20.651800000	39218.000	58053.000	Echolocation	0.561	20220826_070000.WAV
20	Spectrogram 1	1	20.644500000	20.651800000	39218.000	58053.000	Echolocation	0.561	20220826_070000.WAV
21	Waveform 1	1	20.746500000	20.754600000	38359.000	60415.000	Echolocation	0.566	20220826_070000.WAV
21	Spectrogram 1	1	20.746500000	20.754600000	38359.000	60415.000	Echolocation	0.566	20220826_070000.WAV
22	Waveform 1	1	21.037500000	21.046300000	39218.000	60925.000	Echolocation	0.509	20220826_070000.WAV
22	Spectrogram 1	1	21.037500000	21.046300000	39218.000	60925.000	Echolocation	0.509	20220826_070000.WAV
23	Waveform 1	1	21.241500000	21.250600000	40078.000	54113.000	Echolocation	0.663	20220826_070000.WAV
23	Spectrogram 1	1	21.241500000	21.250600000	40078.000	54113.000	Echolocation	0.663	20220826_070000.WAV
24	Waveform 1	1	21.452500000	21.459800000	38359.000	51742.000	Echolocation	0.525	20220826_070000.WAV
24	Spectrogram 1	1	21.452500000	21.459800000	38359.000	51742.000	Echolocation	0.525	20220826_070000.WAV
25	Waveform 1	1	22.522500000	22.529500000	40078.000	66093.000	Echolocation	0.534	20220826_070000.WAV
25	Spectrogram 1	1	22.522500000	22.529500000	40078.000	66093.000	Echolocation	0.534	20220826_070000.WAV
26	Waveform 1	1	22.707500000	22.714300000	41796.000	60571.000	Echolocation	0.573	20220826_070000.WAV
26	Spectrogram 1	1	22.707500000	22.714300000	41796.000	60571.000	Echolocation	0.573	20220826_070000.WAV
27	Waveform 1	1	23.002500000	23.009400000	40078.000	65977.000	Echolocation	0.575	20220826_070000.WAV
27	Spectrogram 1	1	23.002500000	23.009400000	40078.000	65977.000	Echolocation	0.575	20220826_070000.WAV
28	Waveform 1	1	23.283500000	23.291200000	40937.000	66077.000	Echolocation	0.556	20220826_070000.WAV
28	Spectrogram 1	1	23.283500000	23.291200000	40937.000	66077.000	Echolocation	0.556	20220826_070000.WAV
29	Waveform 1	1	25.014500000	25.022000000	40937.000	68098.000	Echolocation	0.597	20220826_070000.WAV
29	Spectrogram 1	1	25.014500000	25.022000000	40937.000	68098.000	Echolocation	0.597	20220826_070000.WAV
30	Waveform 1	1	25.191500000	25.198300000	39218.000	63732.000	Echolocation	0.592	20220826_070000.WAV
30	Spectrogram 1	1	25.191500000	25.198300000	39218.000	63732.000	Echolocation	0.592	20220826_070000.WAV
31	Waveform 1	1	25.279500000	25.286100000	37500.000	58882.000	Echolocation	0.549	20220826_070000.WAV
31	Spectrogram 1	1	25.279500000	25.286100000	37500.000	58882.000	Echolocation	0.549	20220826_070000.WAV
32	Waveform 1	1	25.371500000	25.378200000	39218.000	65757.000	Echolocation	0.544	20220826_070000.WAV
32	Spectrogram 1	1	25.371500000	25.378200000	39218.000	65757.000	Echolocation	0.544	20220826_070000.WAV
33	Waveform 1	1	25.466500000	25.473400000	40078.000	57722.000	Echolocation	0.604	20220826_070000.WAV
33	Spectrogram 1	1	25.466500000	25.473400000	40078.000	57722.000	Echolocation	0.604	20220826_070000.WAV
34	Waveform 1	1	25.567500000	25.573800000	39218.000	63925.000	Echolocation	0.533	20220826_070000.WAV
34	Spectrogram 1	1	25.567500000	25.573800000	39218.000	63925.000	Echolocation	0.533	20220826_070000.WAV
35	Waveform 1	1	25.775500000	25.782200000	38359.000	61878.000	Echolocation	0.547	20220826_070000.WAV
35	Spectrogram 1	1	25.775500000	25.782200000	38359.000	61878.000	Echolocation	0.547	20220826_070000.WAV
36	Waveform 1	1	25.881500000	25.890600000	40078.000	54792.000	Echolocation	0.603	20220826_070000.WAV
36	Spectrogram 1	1	25.881500000	25.890600000	40078.000	54792.000	Echolocation	0.603	20220826_070000.WAV
37	Waveform 1	1	25.984500000	25.992400000	39218.000	59739.000	Echolocation	0.645	20220826_070000.WAV
37	Spectrogram 1	1	25.984500000	25.992400000	39218.000	59739.000	Echolocation	0.645	20220826_070000.WAV
38	Waveform 1	1	26.085500000	26.093300000	38359.000	52241.000	Echolocation	0.556	20220826_070000.WAV
38	Spectrogram 1	1	26.085500000	26.093300000	38359.000	52241.000	Echolocation	0.556	20220826_070000.WAV
39	Waveform 1	1	26.184500000	26.191500000	38359.000	51585.000	Echolocation	0.5	20220826_070000.WAV
39	Spectrogram 1	1	26.184500000	26.191500000	38359.000	51585.000	Echolocation	0.5	20220826_070000.WAV
40	Waveform 1	1	26.278500000	26.286600000	39218.000	58700.000	Echolocation	0.501	20220826_070000.WAV
40	Spectrogram 1	1	26.278500000	26.286600000	39218.000	58700.000	Echolocation	0.501	20220826_070000.WAV
41	Waveform 1	1	26.393500000	26.402300000	39218.000	62839.000	Echolocation	0.55	20220826_070000.WAV
41	Spectrogram 1	1	26.393500000	26.402300000	39218.000	62839.000	Echolocation	0.55	20220826_070000.WAV
42	Waveform 1	1	26.485500000	26.493200000	38359.000	53684.000	Echolocation	0.569	20220826_070000.WAV
42	Spectrogram 1	1	26.485500000	26.493200000	38359.000	53684.000	Echolocation	0.569	20220826_070000.WAV
43	Waveform 1	1	26.665500000	26.673100000	38359.000	56449.000	Echolocation	0.543	20220826_070000.WAV
43	Spectrogram 1	1	26.665500000	26.673100000	38359.000	56449.000	Echolocation	0.543	20220826_070000.WAV
44	Waveform 1	1	28.035500000	28.042100000	40937.000	70241.000	Echolocation	0.502	20220826_070000.WAV
44	Spectrogram 1	1	28.035500000	28.042100000	40937.000	70241.000	Echolocation	0.502	20220826_070000.WAV
45	Waveform 1	1	28.315500000	28.322600000	39218.000	69493.000	Echolocation	0.53	20220826_070000.WAV
45	Spectrogram 1	1	28.315500000	28.322600000	39218.000	69493.000	Echolocation	0.53	20220826_070000.WAV
46	Waveform 1	1	28.788500000	28.795300000	39218.000	67440.000	Echolocation	0.525	20220826_070000.WAV
46	Spectrogram 1	1	28.788500000	28.795300000	39218.000	67440.000	Echolocation	0.525	20220826_070000.WAV
47	Waveform 1	1	28.883500000	28.890300000	40937.000	63684.000	Echolocation	0.502	20220826_070000.WAV
47	Spectrogram 1	1	28.883500000	28.890300000	40937.000	63684.000	Echolocation	0.502	20220826_070000.WAV
48	Waveform 1	1	29.277500000	29.283800000	40078.000	65717.000	Echolocation	0.541	20220826_070000.WAV
48	Spectrogram 1	1	29.277500000	29.283800000	40078.000	65717.000	Echolocation	0.541	20220826_070000.WAV
49	Waveform 1	1	29.786500000	29.794100000	39218.000	66925.000	Echolocation	0.546	20220826_070000.WAV
49	Spectrogram 1	1	29.786500000	29.794100000	39218.000	66925.000	Echolocation	0.546	20220826_070000.WAV
50	Waveform 1	1	30.599500000	30.604400000	40078.000	60656.000	Echolocation	0.527	20220826_070000.WAV
50	Spectrogram 1	1	30.599500000	30.604400000	40078.000	60656.000	Echolocation	0.527	20220826_070000.WAV
51	Waveform 1	1	30.779500000	30.785300000	40078.000	59892.000	Echolocation	0.587	20220826_070000.WAV
51	Spectrogram 1	1	30.779500000	30.785300000	40078.000	59892.000	Echolocation	0.587	20220826_070000.WAV
52	Waveform 1	1	30.854500000	30.859500000	40078.000	58174.000	Echolocation	0.547	20220826_070000.WAV
52	Spectrogram 1	1	30.854500000	30.859500000	40078.000	58174.000	Echolocation	0.547	20220826_070000.WAV
53	Waveform 1	1	135.022500000	135.028600000	48671.000	59133.000	Echolocation	0.505	20220826_070000.WAV
53	Spectrogram 1	1	135.022500000	135.028600000	48671.000	59133.000	Echolocation	0.505	20220826_070000.WAV
54	Waveform 1	1	135.298500000	135.305600000	46953.000	56153.000	Echolocation	0.581	20220826_070000.WAV
54	Spectrogram 1	1	135.298500000	135.305600000	46953.000	56153.000	Echolocation	0.581	20220826_070000.WAV
55	Waveform 1	1	135.392500000	135.399300000	47812.000	59028.000	Echolocation	0.661	20220826_070000.WAV
55	Spectrogram 1	1	135.392500000	135.399300000	47812.000	59028.000	Echolocation	0.661	20220826_070000.WAV
56	Waveform 1	1	135.491500000	135.497800000	46093.000	58564.000	Echolocation	0.553	20220826_070000.WAV
56	Spectrogram 1	1	135.491500000	135.497800000	46093.000	58564.000	Echolocation	0.553	20220826_070000.WAV
57	Waveform 1	1	135.583500000	135.590100000	47812.000	56933.000	Echolocation	0.651	20220826_070000.WAV
57	Spectrogram 1	1	135.583500000	135.590100000	47812.000	56933.000	Echolocation	0.651	20220826_070000.WAV
58	Waveform 1	1	135.678500000	135.685800000	47812.000	60505.000	Echolocation	0.608	20220826_070000.WAV
58	Spectrogram 1	1	135.678500000	135.685800000	47812.000	60505.000	Echolocation	0.608	20220826_070000.WAV
59	Waveform 1	1	135.776500000	135.783900000	47812.000	58805.000	Echolocation	0.667	20220826_070000.WAV
59	Spectrogram 1	1	135.776500000	135.783900000	47812.000	58805.000	Echolocation	0.667	20220826_070000.WAV
60	Waveform 1	1	135.880500000	135.890900000	46093.000	58288.000	Echolocation	0.631	20220826_070000.WAV
60	Spectrogram 1	1	135.880500000	135.890900000	46093.000	58288.000	Echolocation	0.631	20220826_070000.WAV
61	Waveform 1	1	135.978500000	135.989000000	46953.000	60629.000	Echolocation	0.534	20220826_070000.WAV
61	Spectrogram 1	1	135.978500000	135.989000000	46953.000	60629.000	Echolocation	0.534	20220826_070000.WAV
62	Waveform 1	1	136.076500000	136.085600000	46953.000	57219.000	Echolocation	0.594	20220826_070000.WAV
62	Spectrogram 1	1	136.076500000	136.085600000	46953.000	57219.000	Echolocation	0.594	20220826_070000.WAV
63	Waveform 1	1	136.173500000	136.181700000	46093.000	59696.000	Echolocation	0.597	20220826_070000.WAV
63	Spectrogram 1	1	136.173500000	136.181700000	46093.000	59696.000	Echolocation	0.597	20220826_070000.WAV
64	Waveform 1	1	136.270500000	136.279400000	46953.000	59002.000	Echolocation	0.582	20220826_070000.WAV
64	Spectrogram 1	1	136.270500000	136.279400000	46953.000	59002.000	Echolocation	0.582	20220826_070000.WAV
65	Waveform 1	1	136.373500000	136.381500000	46093.000	57832.000	Echolocation	0.552	20220826_070000.WAV
65	Spectrogram 1	1	136.373500000	136.381500000	46093.000	57832.000	Echolocation	0.552	20220826_070000.WAV
66	Waveform 1	1	136.466500000	136.475400000	46953.000	59275.000	Echolocation	0.614	20220826_070000.WAV
66	Spectrogram 1	1	136.466500000	136.475400000	46953.000	59275.000	Echolocation	0.614	20220826_070000.WAV
67	Waveform 1	1	136.760500000	136.768900000	46953.000	59357.000	Echolocation	0.567	20220826_070000.WAV
67	Spectrogram 1	1	136.760500000	136.768900000	46953.000	59357.000	Echolocation	0.567	20220826_070000.WAV
68	Waveform 1	1	136.949500000	136.959300000	44375.000	65955.000	Echolocation	0.56	20220826_070000.WAV
68	Spectrogram 1	1	136.949500000	136.959300000	44375.000	65955.000	Echolocation	0.56	20220826_070000.WAV
69	Waveform 1	1	137.138500000	137.147000000	45234.000	64828.000	Echolocation	0.63	20220826_070000.WAV
69	Spectrogram 1	1	137.138500000	137.147000000	45234.000	64828.000	Echolocation	0.63	20220826_070000.WAV
70	Waveform 1	1	137.239500000	137.248300000	45234.000	63642.000	Echolocation	0.613	20220826_070000.WAV
70	Spectrogram 1	1	137.239500000	137.248300000	45234.000	63642.000	Echolocation	0.613	20220826_070000.WAV
71	Waveform 1	1	137.356500000	137.365200000	45234.000	58893.000	Echolocation	0.654	20220826_070000.WAV
71	Spectrogram 1	1	137.356500000	137.365200000	45234.000	58893.000	Echolocation	0.654	20220826_070000.WAV
72	Waveform 1	1	137.520500000	137.530300000	46093.000	65045.000	Echolocation	0.62	20220826_070000.WAV
72	Spectrogram 1	1	137.520500000	137.530300000	46093.000	65045.000	Echolocation	0.62	20220826_070000.WAV
73	Waveform 1	1	137.622500000	137.632500000	45234.000	61040.000	Echolocation	0.561	20220826_070000.WAV
73	Spectrogram 1	1	137.622500000	137.632500000	45234.000	61040.000	Echolocation	0.561	20220826_070000.WAV
74	Waveform 1	1	137.720500000	137.731200000	45234.000	66040.000	Echolocation	0.55	20220826_070000.WAV
74	Spectrogram 1	1	137.720500000	137.731200000	45234.000	66040.000	Echolocation	0.55	20220826_070000.WAV
75	Waveform 1	1	137.826500000	137.834400000	45234.000	60458.000	Echolocation	0.651	20220826_070000.WAV
75	Spectrogram 1	1	137.826500000	137.834400000	45234.000	60458.000	Echolocation	0.651	20220826_070000.WAV
76	Waveform 1	1	137.916500000	137.925500000	46093.000	65945.000	Echolocation	0.614	20220826_070000.WAV
