Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	detection_confidence	input_file
1	Waveform 1	1	3.770500000	3.777100000	45234.000	54096.000	Echolocation	0.512	20220826_070000.WAV
1	Spectrogram 1	1	3.770500000	3.777100000	45234.000	54096.000	Echolocation	0.512	20220826_070000.WAV
2	Waveform 1	1	4.308500000	4.314000000	46093.000	59238.000	Echolocation	0.542	20220826_070000.WAV
2	Spectrogram 1	1	4.308500000	4.314000000	46093.000	59238.000	Echolocation	0.542	20220826_070000.WAV
3	Waveform 1	1	4.850500000	4.855800000	45234.000	62030.000	Echolocation	0.524	20220826_070000.WAV
3	Spectrogram 1	1	4.850500000	4.855800000	45234.000	62030.000	Echolocation	0.524	20220826_070000.WAV
4	Waveform 1	1	5.003500000	5.009400000	45234.000	60073.000	Echolocation	0.538	20220826_070000.WAV
4	Spectrogram 1	1	5.003500000	5.009400000	45234.000	60073.000	Echolocation	0.538	20220826_070000.WAV
5	Waveform 1	1	5.151500000	5.156900000	46093.000	61459.000	Echolocation	0.517	20220826_070000.WAV
5	Spectrogram 1	1	5.151500000	5.156900000	46093.000	61459.000	Echolocation	0.517	20220826_070000.WAV
6	Waveform 1	1	5.272500000	5.277800000	46093.000	61346.000	Echolocation	0.629	20220826_070000.WAV
6	Spectrogram 1	1	5.272500000	5.277800000	46093.000	61346.000	Echolocation	0.629	20220826_070000.WAV
7	Waveform 1	1	5.783500000	5.788900000	44375.000	59142.000	Echolocation	0.713	20220826_070000.WAV
7	Spectrogram 1	1	5.783500000	5.788900000	44375.000	59142.000	Echolocation	0.713	20220826_070000.WAV
8	Waveform 1	1	8.281500000	8.289100000	38359.000	48021.000	Echolocation	0.594	20220826_070000.WAV
8	Spectrogram 1	1	8.281500000	8.289100000	38359.000	48021.000	Echolocation	0.594	20220826_070000.WAV
9	Waveform 1	1	8.967500000	8.976600000	38359.000	49128.000	Echolocation	0.503	20220826_070000.WAV
9	Spectrogram 1	1	8.967500000	8.976600000	38359.000	49128.000	Echolocation	0.503	20220826_070000.WAV
10	Waveform 1	1	9.159500000	9.166800000	38359.000	48562.000	Echolocation	0.543	20220826_070000.WAV
10	Spectrogram 1	1	9.159500000	9.166800000	38359.000	48562.000	Echolocation	0.543	20220826_070000.WAV
11	Waveform 1	1	9.433500000	9.441700000	38359.000	46568.000	Echolocation	0.559	20220826_070000.WAV
11	Spectrogram 1	1	9.433500000	9.441700000	38359.000	46568.000	Echolocation	0.559	20220826_070000.WAV
12	Waveform 1	1	9.602500000	9.611300000	38359.000	49321.000	Echolocation	0.528	20220826_070000.WAV
12	Spectrogram 1	1	9.602500000	9.611300000	38359.000	49321.000	Echolocation	0.528	20220826_070000.WAV
13	Waveform 1	1	32.617500000	32.634200000	24609.000	28640.000	Echolocation	0.571	20220826_070000.WAV
13	Spectrogram 1	1	32.617500000	32.634200000	24609.000	28640.000	Echolocation	0.571	20220826_070000.WAV
14	Waveform 1	1	32.628500000	32.633400000	46953.000	59101.000	Echolocation	0.504	20220826_070000.WAV
14	Spectrogram 1	1	32.628500000	32.633400000	46953.000	59101.000	Echolocation	0.504	20220826_070000.WAV
15	Waveform 1	1	36.782500000	36.798100000	24609.000	29404.000	Echolocation	0.532	20220826_070000.WAV
15	Spectrogram 1	1	36.782500000	36.798100000	24609.000	29404.000	Echolocation	0.532	20220826_070000.WAV
16	Waveform 1	1	37.313500000	37.327700000	23750.000	28005.000	Echolocation	0.523	20220826_070000.WAV
16	Spectrogram 1	1	37.313500000	37.327700000	23750.000	28005.000	Echolocation	0.523	20220826_070000.WAV
17	Waveform 1	1	37.919500000	37.935300000	24609.000	28349.000	Echolocation	0.564	20220826_070000.WAV
17	Spectrogram 1	1	37.919500000	37.935300000	24609.000	28349.000	Echolocation	0.564	20220826_070000.WAV
18	Waveform 1	1	38.630500000	38.647400000	23750.000	29405.000	Echolocation	0.586	20220826_070000.WAV
18	Spectrogram 1	1	38.630500000	38.647400000	23750.000	29405.000	Echolocation	0.586	20220826_070000.WAV
19	Waveform 1	1	40.225500000	40.245500000	24609.000	28076.000	Echolocation	0.534	20220826_070000.WAV
19	Spectrogram 1	1	40.225500000	40.245500000	24609.000	28076.000	Echolocation	0.534	20220826_070000.WAV
20	Waveform 1	1	40.836500000	40.841000000	48671.000	58027.000	Echolocation	0.52	20220826_070000.WAV
20	Spectrogram 1	1	40.836500000	40.841000000	48671.000	58027.000	Echolocation	0.52	20220826_070000.WAV
21	Waveform 1	1	40.950500000	40.956400000	46093.000	63152.000	Echolocation	0.564	20220826_070000.WAV
21	Spectrogram 1	1	40.950500000	40.956400000	46093.000	63152.000	Echolocation	0.564	20220826_070000.WAV
22	Waveform 1	1	40.960500000	40.979500000	24609.000	28308.000	Echolocation	0.566	20220826_070000.WAV
22	Spectrogram 1	1	40.960500000	40.979500000	24609.000	28308.000	Echolocation	0.566	20220826_070000.WAV
23	Waveform 1	1	41.055500000	41.061600000	46093.000	63025.000	Echolocation	0.618	20220826_070000.WAV
23	Spectrogram 1	1	41.055500000	41.061600000	46093.000	63025.000	Echolocation	0.618	20220826_070000.WAV
24	Waveform 1	1	41.834500000	41.849500000	24609.000	30209.000	Echolocation	0.515	20220826_070000.WAV
24	Spectrogram 1	1	41.834500000	41.849500000	24609.000	30209.000	Echolocation	0.515	20220826_070000.WAV
25	Waveform 1	1	44.700500000	44.717100000	24609.000	27700.000	Echolocation	0.565	20220826_070000.WAV
25	Spectrogram 1	1	44.700500000	44.717100000	24609.000	27700.000	Echolocation	0.565	20220826_070000.WAV
26	Waveform 1	1	45.307500000	45.315100000	39218.000	44878.000	fp	0.501	20220826_070000.WAV
26	Spectrogram 1	1	45.307500000	45.315100000	39218.000	44878.000	fp	0.501	20220826_070000.WAV
27	Waveform 1	1	46.637500000	46.654500000	24609.000	29911.000	Echolocation	0.531	20220826_070000.WAV
27	Spectrogram 1	1	46.637500000	46.654500000	24609.000	29911.000	Echolocation	0.531	20220826_070000.WAV
28	Waveform 1	1	48.613500000	48.631300000	23750.000	27897.000	Echolocation	0.564	20220826_070000.WAV
28	Spectrogram 1	1	48.613500000	48.631300000	23750.000	27897.000	Echolocation	0.564	20220826_070000.WAV
29	Waveform 1	1	49.455500000	49.472100000	24609.000	28414.000	Echolocation	0.614	20220826_070000.WAV
29	Spectrogram 1	1	49.455500000	49.472100000	24609.000	28414.000	Echolocation	0.614	20220826_070000.WAV
30	Waveform 1	1	49.876500000	49.891700000	22890.000	28068.000	Echolocation	0.54	20220826_070000.WAV
30	Spectrogram 1	1	49.876500000	49.891700000	22890.000	28068.000	Echolocation	0.54	20220826_070000.WAV
31	Waveform 1	1	51.038500000	51.058800000	23750.000	27470.000	Echolocation	0.538	20220826_070000.WAV
31	Spectrogram 1	1	51.038500000	51.058800000	23750.000	27470.000	Echolocation	0.538	20220826_070000.WAV
32	Waveform 1	1	52.816500000	52.835200000	24609.000	28281.000	Echolocation	0.604	20220826_070000.WAV
32	Spectrogram 1	1	52.816500000	52.835200000	24609.000	28281.000	Echolocation	0.604	20220826_070000.WAV
33	Waveform 1	1	64.095500000	64.100000000	47812.000	62676.000	Echolocation	0.593	20220826_070000.WAV
33	Spectrogram 1	1	64.095500000	64.100000000	47812.000	62676.000	Echolocation	0.593	20220826_070000.WAV
34	Waveform 1	1	64.230500000	64.234800000	48671.000	59499.000	fp	0.546	20220826_070000.WAV
34	Spectrogram 1	1	64.230500000	64.234800000	48671.000	59499.000	fp	0.546	20220826_070000.WAV
35	Waveform 1	1	64.526500000	64.531100000	47812.000	59677.000	Echolocation	0.57	20220826_070000.WAV
35	Spectrogram 1	1	64.526500000	64.531100000	47812.000	59677.000	Echolocation	0.57	20220826_070000.WAV
