Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	detection_confidence	Annotation	input_file
1	Waveform 1	1	97.321500000	97.330600000	42656.000	50415.000	0.576	Echolocation	20220826_070000.WAV
1	Spectrogram 1	1	97.321500000	97.330600000	42656.000	50415.000	0.576	Echolocation	20220826_070000.WAV
2	Waveform 1	1	97.621500000	97.630700000	43515.000	53572.000	0.513	Echolocation	20220826_070000.WAV
2	Spectrogram 1	1	97.621500000	97.630700000	43515.000	53572.000	0.513	Echolocation	20220826_070000.WAV
3	Waveform 1	1	97.825500000	97.834200000	42656.000	51944.000	0.593	Echolocation	20220826_070000.WAV
3	Spectrogram 1	1	97.825500000	97.834200000	42656.000	51944.000	0.593	Echolocation	20220826_070000.WAV
4	Waveform 1	1	97.938500000	97.946600000	43515.000	50232.000	0.562	Echolocation	20220826_070000.WAV
4	Spectrogram 1	1	97.938500000	97.946600000	43515.000	50232.000	0.562	Echolocation	20220826_070000.WAV
5	Waveform 1	1	98.351500000	98.359300000	41796.000	49628.000	0.536	Echolocation	20220826_070000.WAV
5	Spectrogram 1	1	98.351500000	98.359300000	41796.000	49628.000	0.536	Echolocation	20220826_070000.WAV
6	Waveform 1	1	98.913500000	98.922900000	41796.000	51573.000	0.544	Echolocation	20220826_070000.WAV
6	Spectrogram 1	1	98.913500000	98.922900000	41796.000	51573.000	0.544	Echolocation	20220826_070000.WAV
7	Waveform 1	1	99.101500000	99.109500000	41796.000	51820.000	0.606	Echolocation	20220826_070000.WAV
7	Spectrogram 1	1	99.101500000	99.109500000	41796.000	51820.000	0.606	Echolocation	20220826_070000.WAV
8	Waveform 1	1	99.396500000	99.404400000	43515.000	49961.000	0.652	Echolocation	20220826_070000.WAV
8	Spectrogram 1	1	99.396500000	99.404400000	43515.000	49961.000	0.652	Echolocation	20220826_070000.WAV
9	Waveform 1	1	99.499500000	99.506900000	42656.000	54462.000	0.557	Echolocation	20220826_070000.WAV
