,Datetime UTC,Site name,Recover folder,AudioMoth #,SD card #,File path,File metadata,File status,Audiomoth temperature,Audiomoth battery,Sample rate,Audiomoth artist ID,File duration,Deployment notes,Sum Rain,Mean Wind Speed,Month,Condition
19,2022-10-21 08:31:02,Central Pond,recover-20221027,C,3,/mnt/ubna_data_02/recover-20221027/UBNA_003/20221021_083102.WAV,Recorded at 08:31:02 21/10/2022 (UTC) by AudioMoth 24F319055FDF2F5B at medium gain while battery was 4.0V and temperature was 12.0C.,Usable for detection,12.0C,4.0V,192000,AudioMoth 24F319055FDF2F5B,238.001270833333,Panasonic,0.0,8.210344827586207,10,Normal
22,2022-12-17 05:00:00,Central Pond,recover-20230110,C,9,/mnt/ubna_data_02/recover-20230110/UBNA_009/20221217_050000.WAV,Recorded at 05:00:00 17/12/2022 (UTC) by AudioMoth 24F319055FDF2F5B at medium gain while battery was 4.2V and temperature was -6.1C.,Usable for detection,-6.1C,4.2V,192000,AudioMoth 24F319055FDF2F5B,300.001270833333,IKEA,0.0,5.058064516129032,12,Normal
23,2022-12-15 04:00:00,Central Pond,recover-20230110,C,9,/mnt/ubna_data_02/recover-20230110/UBNA_009/20221215_040000.WAV,Recorded at 04:00:00 15/12/2022 (UTC) by AudioMoth 24F319055FDF2F5B at medium gain while battery was 4.3V and temperature was -3.9C.,Usable for detection,-3.9C,4.3V,192000,AudioMoth 24F319055FDF2F5B,300.001270833333,IKEA,0.0,4.8096774193548395,12,Normal
24,2022-08-27 05:00:00,Fallen Tree,recover-20220828,B,13,/mnt/ubna_data_01/recover-20220828/UBNA_013/20220827_050000.WAV,Recorded at 05:00:00 27/08/2022 (UTC) by AudioMoth 24F3190361CBE96A at medium gain while battery was 4.0V and temperature was 26.0C.,Usable for detection,26.0C,4.0V,192000,AudioMoth 24F3190361CBE96A,1795.0,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Walkable land currently; Uploaded to 8TB drive,0.0,11.029032258064516,8,Extreme Wind
25,2022-08-28 06:00:00,Fallen Tree,recover-20220828,B,13,/mnt/ubna_data_01/recover-20220828/UBNA_013/20220828_060000.WAV,Recorded at 06:00:00 28/08/2022 (UTC) by AudioMoth 24F3190361CBE96A at medium gain while battery was 3.9V and temperature was 18.2C.,Usable for detection,18.2C,3.9V,192000,AudioMoth 24F3190361CBE96A,1795.0,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Walkable land currently; Uploaded to 8TB drive,0.0,5.993548387096775,8,Normal
26,2022-09-23 04:00:00,Fallen Tree,recover-20220926,E,11,/mnt/ubna_data_02/recover-20220926/UBNA_011/20220923_040000.WAV,Recorded at 04:00:00 23/09/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 4.1V and temperature was 21.0C.,Usable for detection,21.0C,4.1V,192000,AudioMoth 249BC30461CBE95C,1795.00127083333,Panasonic,0.0,13.74516129032258,9,Extreme Wind
27,2022-09-24 03:00:00,Fallen Tree,recover-20220926,E,11,/mnt/ubna_data_02/recover-20220926/UBNA_011/20220924_030000.WAV,Recorded at 03:00:00 24/09/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 4.0V and temperature was 20.2C.,Usable for detection,20.2C,4.0V,192000,AudioMoth 249BC30461CBE95C,1795.00127083333,Panasonic,0.0,4.864516129032259,9,Normal
28,2022-10-31 09:00:00,Fallen Tree,recover-20221110,E,11,/mnt/ubna_data_02/recover-20221110/UBNA_011/20221031_090000.WAV,Recorded at 09:00:00 31/10/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 4.0V and temperature was 14.2C.,Usable for detection,14.2C,4.0V,192000,AudioMoth 249BC30461CBE95C,300.001270833333,IKEA,0.05,7.832258064516129,10,Extreme Rain
29,2022-10-09 03:00:00,Fallen Tree,recover-20221010,E,11,/mnt/ubna_data_02/recover-20221010/UBNA_011/20221009_030000.WAV,Recorded at 03:00:00 09/10/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 3.9V and temperature was 18.7C.,Usable for detection,18.7C,3.9V,192000,AudioMoth 249BC30461CBE95C,1795.00127083333,Panasonic,0.0,3.9354838709677415,10,Normal
30,2022-11-02 09:00:00,Fallen Tree,recover-20221110,E,11,/mnt/ubna_data_02/recover-20221110/UBNA_011/20221102_090000.WAV,Recorded at 09:00:00 02/11/2022 (UTC) by AudioMoth 249BC30461CBE95C at medium gain while battery was 4.0V and temperature was 9.3C.,Usable for detection, 9.3C,4.0V,192000,AudioMoth 249BC30461CBE95C,300.001270833333,IKEA,0.07,9.419354838709678,11,Extreme Rain
